IP,rdap_org
54.144.0.0/12,Amazon Technologies Inc.
54.160.0.0/11,Amazon Technologies Inc.
54.192.0.0/12,Amazon Technologies Inc.
54.208.0.0/13,Amazon Technologies Inc.
54.216.0.0/14,Amazon Technologies Inc.
54.220.0.0/15,Amazon Technologies Inc.
13.24.0.0/13,Amazon Technologies Inc.
13.32.0.0/12,Amazon Technologies Inc.
13.48.0.0/13,Amazon Technologies Inc.
13.56.0.0/14,Amazon Technologies Inc.
23.32.0.0/11,Akamai Technologies Inc.
23.64.0.0/14,Akamai Technologies Inc.
65.153.18.0/24,Akamai Technologies Inc.
8.224.0.0/11,Level 3 Parent LLC
159.165.0.0/16,Delta Air Lines
23.192.0.0/11,Akamai Technologies Inc.
18.32.0.0/11,Amazon Technologies Inc.
18.64.0.0/10,Amazon Technologies Inc.
18.128.0.0/9,Amazon Technologies Inc.
13.64.0.0/11,Microsoft Corporation
13.96.0.0/13,Microsoft Corporation
13.104.0.0/14,Microsoft Corporation
52.192.0.0/12,Amazon Technologies Inc.
52.208.0.0/13,Amazon Technologies Inc.
52.216.0.0/14,Amazon Technologies Inc.
52.220.0.0/15,Amazon Technologies Inc.
52.222.0.0/16,Amazon Technologies Inc.
52.223.0.0/17,Amazon Technologies Inc.
52.223.128.0/18,Amazon Technologies Inc.
3.208.0.0/12,Amazon Data Services NoVa
52.145.0.0/16,Microsoft Corporation
52.146.0.0/15,Microsoft Corporation
52.148.0.0/14,Microsoft Corporation
52.152.0.0/13,Microsoft Corporation
52.160.0.0/11,Microsoft Corporation
64.39.96.0/20,QUALYS Inc.
72.21.80.0/20,MCI Communications Services Inc. d/b/a Verizon Business
3.0.0.0/9,Amazon Technologies Inc.
52.0.0.0/10,Amazon Technologies Inc.
52.64.0.0/12,Amazon Technologies Inc.
